name,age,height_cm,weight_kg,overall,value_eur,preferred_foot,team_position,shooting,passing,defending,attacking_crossing,attacking_finishing,attacking_heading_accuracy,skill_dribbling,skill_curve,skill_fk_accuracy,skill_ball_control,movement_sprint_speed,movement_reactions,power_jumping,power_stamina,power_strength
F. Ceccherini,28,187,75,70,1800000,Right,SUB,16,34,71,15,17,58,42,13,19,56,48,70,80,50,84
T. Reifeltshammer,31,188,78,65,400000,Right,CB,17,35,65,23,11,74,34,25,13,45,65,60,63,55,74
B. Easton,32,183,76,63,240000,Left,SUB,17,55,62,63,11,64,57,38,31,61,55,59,60,69,76
M. Bani,26,188,81,72,3400000,Right,LCB,18,42,74,22,18,70,50,20,17,54,54,71,74,61,76
M. Fornasier,26,186,80,65,575000,Right,RES,18,34,67,28,13,64,41,23,22,50,67,59,77,46,75
G. Ray,26,193,71,58,130000,Right,SUB,18,25,59,15,19,61,47,16,12,45,54,50,82,65,74
Ai Zhibo,37,188,82,59,30000,Right,LCB,19,49,58,37,12,60,20,35,37,55,32,57,59,60,69
H. Hatipoğlu,30,185,78,60,170000,Left,SUB,19,33,59,29,16,58,26,23,24,42,62,63,71,57,72
Y. Koide,25,180,76,66,750000,Right,SUB,19,42,67,39,12,60,24,12,21,57,51,61,71,53,75
N. Canavan,29,193,76,63,300000,Left,CB,20,31,64,15,15,67,37,15,14,44,52,61,80,61,81
S. Cartwright,19,185,75,49,60000,Right,RES,20,30,48,27,15,42,34,28,26,35,62,44,60,50,70
A. Hegazi,29,194,95,72,2900000,Right,RES,20,46,72,18,17,73,53,35,29,61,52,65,74,68,85
S. Callan,20,182,80,50,45000,Right,SUB,20,33,51,32,20,49,32,30,20,36,52,49,58,49,55
Lee Ho In,24,184,68,55,110000,Right,SUB,20,35,52,28,16,58,20,27,28,37,66,52,71,55,67
T. Dejewski,25,191,82,59,190000,Right,SUB,20,36,59,21,18,58,24,20,33,48,51,49,66,66,79
M. Kryeziu,23,196,96,59,200000,Left,SUB,20,30,57,24,21,65,28,21,17,41,34,46,65,66,89
C. Schoissengeyr,25,195,92,65,650000,Right,SUB,20,41,66,29,18,76,25,24,28,37,31,51,64,66,93
Liu Jiashen,28,191,80,53,60000,Right,LCB,21,25,54,29,15,46,29,22,24,27,52,43,66,70,79
